"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2022-03-01 00:00","2022","03","01","00:00","-6.2","","-8.4","","85","","","M","7","","7","","","M","99.48","","","","-10","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2022-03-01 01:00","2022","03","01","01:00","-4.9","","-7.9","","80","","","M","12","","9","","","M","99.39","","","","-9","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2022-03-01 02:00","2022","03","01","02:00","-5.6","","-7.5","","87","","","M","8","","9","","","M","99.24","","","","-10","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2022-03-01 03:00","2022","03","01","03:00","-4.8","","-7.3","","83","","","M","9","","5","","","M","99.09","","","","-7","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2022-03-01 04:00","2022","03","01","04:00","-4.4","","-7.0","","82","","","M","31","","8","","","M","98.98","","","","-8","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2022-03-01 05:00","2022","03","01","05:00","-4.1","","-6.9","","81","","","M","32","","12","","","M","98.91","","","","-9","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2022-03-01 06:00","2022","03","01","06:00","-3.5","","-6.3","","81","","","M","12","","8","","","M","98.79","","","","-7","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2022-03-01 07:00","2022","03","01","07:00","-3.8","","-6.1","","84","","","M","31","","10","","","M","98.78","","","","-8","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2022-03-01 08:00","2022","03","01","08:00","-3.9","","-6.1","","84","","","M","30","","10","","","M","98.78","","","","-8","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2022-03-01 09:00","2022","03","01","09:00","-3.4","","-6.0","","82","","","M","28","","10","","","M","98.75","","","","-7","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2022-03-01 10:00","2022","03","01","10:00","-1.7","","-5.0","","78","","","M","30","","8","","","M","98.70","","","","-5","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2022-03-01 11:00","2022","03","01","11:00","0.5","","-4.6","","68","","","M","23","","8","","","M","98.64","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2022-03-01 12:00","2022","03","01","12:00","1.7","","-4.0","","66","","","M","20","","7","","","M","98.59","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2022-03-01 13:00","2022","03","01","13:00","2.4","","-3.7","","64","","","M","18","","8","","","M","98.49","","","","","","NA"
