"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-01","1986","01","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-02","1986","02","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-03","1986","03","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-04","1986","04","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-05","1986","05","","M","","M","","M","","M","","M","","M","","M","","M","0","","","M","","M"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-06","1986","06","22.8","","10.1","","16.5","","28.6","S","1.9","","130.4","","0.0","","130.4","","0","","30","","111","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-07","1986","07","26.2","","15.0","","20.6","","34.2","","7.8","","72.5","","0.0","","77.9","","0","","31","","56",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-08","1986","08","24.0","","11.8","","17.9","","28.8","","4.2","","230.4","","0.0","","230.4","","0","","22","","61",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-09","1986","09","19.3","","9.1","","14.2","","26.2","","0.8","","213.8","","0.0","","213.8","","0","","18","S","48","B"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-10","1986","10","13.4","","2.6","","8.0","","19.9","","-5.5","","54.9","","0.0","","54.9","","0","","26","S","54","S"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-11","1986","11","5.4","","-3.7","","0.9","","17.9","","-10.7","","21.8","","18.5","","40.3","","0","","32","","54","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-12","1986","12","1.2","","-4.7","","-1.8","","4.0","","-17.3","","48.5","","35.2","","83.7","","0","T","25","","63",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-01","1987","01","-1.4","","-9.8","","-5.6","","5.9","","-21.2","","3.1","","50.0","","53.1","","17","","28","","61","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-02","1987","02","-1.4","","-12.6","","-7.0","","4.4","","-25.7","","3.7","","17.2","","20.9","","4","","35","","94","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-03","1987","03","6.9","","-4.2","","1.4","","17.2","","-16.0","","44.7","","22.6","","67.3","","8","","9","S","56","B"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-04","1987","04","14.2","","3.0","","8.6","","28.9","","-9.3","","36.4","","6.2","","42.6","","0","","32","","74","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-05","1987","05","21.0","","7.4","","14.2","","33.5","","-1.6","","57.4","","0.0","","57.4","","0","","19","","69","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-06","1987","06","25.1","","12.3","","18.7","","33.4","","5.5","","81.0","","0.0","","81.0","","0","","28","","52","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-07","1987","07","27.9","","16.1","","22.0","","34.6","","9.4","","90.2","","0.0","","90.2","","0","","20","","59","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-08","1987","08","24.8","","13.0","","18.9","","33.8","","7.9","","82.8","","0.0","","82.8","","0","","27","","102","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-09","1987","09","20.0","","9.6","","14.8","","25.8","","3.2","","82.6","","0.0","","82.6","","0","","29","","54",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-10","1987","10","11.8","","0.6","","6.2","","18.8","","-6.0","","51.0","","0.0","","51.0","","0","","28","","59","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-11","1987","11","6.8","","-2.6","","2.1","","19.4","","-15.0","","93.4","","25.5","","118.9","","0","","32","","67","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-12","1987","12","2.1","","-4.4","","-1.2","","13.1","","-17.7","","42.5","","33.5","","75.4","","0","T","12","","78","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1988-01","1988","01","-1.0","","-10.6","","-5.8","","13.6","","-25.7","","21.0","","15.5","","33.3","","0","","27","","87","E"
